vocablo,enlace
A la orden,https://www.youtube.com/watch?v=WpqQXejk7E8
Arveja,https://www.youtube.com/watch?v=O2X9g7g6LRg
Barriga,https://www.youtube.com/watch?v=K0hxPGd9qik
Bienvenido,https://www.youtube.com/watch?v=jRDnwDbRqrg
Bloc de construcción,https://www.youtube.com/watch?v=z_tVcYyrOrg
Bloc de dibujo,https://www.youtube.com/watch?v=P4f6H-hjTgs
Bloc de papel lustrillo,https://www.youtube.com/watch?v=f7M6hAPyTmY
Buenas noches,https://www.youtube.com/watch?v=geeKL8KCQZ4
Buenas tardes,https://www.youtube.com/watch?v=w0Hxzc9wbhg
Buenos días,https://www.youtube.com/watch?v=fCzZGR6x9qg
Calculadora básica,https://www.youtube.com/watch?v=KmQdGX46im0
Carne,https://www.youtube.com/watch?v=H74hfH5w0wc
Carpeta de gancho,https://www.youtube.com/watch?v=MZ-ZoDdGjCY
Cartulina corrugada,https://www.youtube.com/watch?v=so_91zRUvpQ
Cebolla,https://www.youtube.com/watch?v=aKbk9g0XvfA
Ceja,https://www.youtube.com/watch?v=x9PuRvf_w_o
Chinche,https://www.youtube.com/watch?v=_mN_ZGE1QDY
Clip,https://www.youtube.com/watch?v=KkTDt05Xo9g
Corrector,https://www.youtube.com/watch?v=w_0qqcHlRLs
Corta uñas,https://www.youtube.com/watch?v=agex6cTY-WU
Creyones de cera,https://www.youtube.com/watch?v=WmjsGMNayEw
Creyones de madera,https://www.youtube.com/watch?v=EbVNsiic_nk
De nada,https://www.youtube.com/watch?v=Jle7tC1MQds
Disculpa,https://www.youtube.com/watch?v=Aj5xjryn_tY
Esposo,https://www.youtube.com/watch?v=4I4qta8r23k
Foami,https://www.youtube.com/watch?v=cUdkt0US40w
Fresa,https://www.youtube.com/watch?v=6f7F8hKagZw
Gracias,https://www.youtube.com/watch?v=u-Vz8KJDZwI
Grapadora,https://www.youtube.com/watch?v=xUKLFFtpl68
Hojas de reciclaje,https://www.youtube.com/watch?v=u_tL8JjQyrY
Hola,https://www.youtube.com/watch?v=Y6JE6qjZd7M
Lamina de papel bond,https://www.youtube.com/watch?v=3bUnW3-xt3E
Lápiz labial,https://www.youtube.com/watch?v=mmuEcWXARlc
Libreta,https://www.youtube.com/watch?v=XxNgiCPzAZE
Muchas gracias,https://www.youtube.com/watch?v=XfzwWiDEegQ
Ojo,https://www.youtube.com/watch?v=nJOktJJ4ZLs
Padre,https://www.youtube.com/watch?v=vSAcUnQXFdM
Paletas,https://www.youtube.com/watch?v=8kT7h_UOOYY
Papel crepé,https://www.youtube.com/watch?v=LOAnyL8LxKo
Perdón,https://www.youtube.com/watch?v=DPockimbo4M
Perforadora de papel,https://www.youtube.com/watch?v=1kCDd6sex_4
Permiso,https://www.youtube.com/watch?v=kHEyvQL3X0o
Pescado,https://www.youtube.com/watch?v=5rqFj4fOST4
Pintura al frío,https://www.youtube.com/watch?v=7oIGmKX7iVA
Plastilina,https://www.youtube.com/watch?v=FYNdTQoNV7E
Plaza las Heroínas,https://www.youtube.com/watch?v=4NytdK3kDvQ
Por favor,https://www.youtube.com/watch?v=fWfmj0HDP2A
Portarse mal,https://www.youtube.com/watch?v=t6fwpD6ANTo
Primo,https://www.youtube.com/watch?v=zyZd4VqRduE
Sacagrapas,https://www.youtube.com/watch?v=yvxCS2_5W4M
Silicón en barra,https://www.youtube.com/watch?v=y8mgNClkJVU
Uva verde,https://www.youtube.com/watch?v=OSbIycyLy9s
ñ,https://www.youtube.com/watch?v=9lJ9j95ECA4
